Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
DN22,4.4,24,105,0,24
DN31,2,,,,0
DN32,3.9,14,54,0,0
DN33,8,73,0,0,9.1
DN34,1.3,8,10,0,0
DN35,12,0,0,0,0
DN36,7.4,14,103,0,0
DN37,10,0,0,0,0
DN38,0,2,,,
DN39,4,0,0,0,0
DN40,3.8,8,30,0,0
DN41,6,44,0,0,7.3
DT1,0.9,7,6,0,0
DT2,15,7,4,0,0.5
DT3,8.1,9,73,0,0
DT4,12,7,0,0,0.6
DT5,0,1,,,
DT6,8,,,,0
DT7,0,4,0,0,0
DT8,6,17,0,0,2.8
DT9,0.9,14,12,0,0
DT10,7,,,,0
DT11,1.2,21,25,0,0
DY1,14,0,0,0,0
DY2,0,12,,,
DY3,12,0,0,0,0
DY4,1.7,22,37,0,0
DY5,15,0,0,0,0
DY6,1.3,16,21,0,0
DY7,4,,,,0
DY8,0.1,20,1,0,36
DY9,12,124,0,0,10.3
DY10,3.5,15,53,0,0
DY11,14,62,0,0,4.4
DY12,7.4,7,52,0,0
DY13,10,119,0,0,11.9
DY14,1.3,10,13,0,0
E1,41,,,,0
E1W,0,4,,,
E2,26,,,,0
E3,0,21,,,
E4,21,,,,0
E5,0,22,,,
E6,23,,,,0
E7,0,21,,,
E8,12,,,,0
E9,0,15,,,
E10,13,,,,0
E11,0,12,,,
E12,12,,,,0
E13,0,16,,,
E14,30,,,,0
E15,0,20,,,
E16,19,,,,0
E17,0,39,,,
E18,7,,,,0
E20,0,2,,,
EC1M,2,,,,0
EC1N,0,1,,,
EC1R,3,,,,0
EC1V,0,4,,,
EC1Y,1,,,,0
EC2A,0,2,,,
EC2Y,1,,,,0
EC3A,0,1,,,
EC3N,1,,,,0
EC4M,0,1,,,
EC4V,1,,,,0
EN1,0,17,,,
EN2,9,,,,0
EN3,0,25,,,
EN4,14,,,,0
EN5,0,12,,,
EN6,21,58,0,0,2.8
EN7,2.4,10,24,0,0
EN8,16,,,,0
EN9,14.7,9,132,24,0
EN10,7,28,0,0,4
EN11,0,14,0,0,0
EX1,16,124,0,0,7.8
EX2,3.9,26,102,39,1
EX3,4,0,0,0,0
EX4,7.7,17,131,26,100
EX5,21,133,0,3,6.3
EX6,5.3,12,63,0,0
EX7,8,0,0,0,0
EX8,5.6,15,84,0,0
EX9,4,42,0,0,10.5
EX10,0,8,0,0,0
EX11,6,85,0,0,14.2
EX12,6.8,6,41,0,0
EX13,13,22,0,0,1.7
EX14,6.6,16,105,0,7
EX15,15,132,0,0,8.8
EX16,2.9,29,85,24,0
EX17,16,101,0,0,6.3
EX18,0,2,,,
EX19,6,0,0,0,0
EX20,12.3,16,197,0,1
EX21,11,23,0,0,2.1
EX22,3,13,39,0,10
EX23,12,102,0,0,8.5
EX24,0,2,0,0,0
EX31,17,43,110,0,2.5
EX32,2.4,17,40,0,0
EX33,7,14,0,0,2
EX34,2.7,9,24,0,0
EX35,2,0,0,0,0
EX36,10.6,8,85,0,0
EX37,8,17,0,0,2.1
EX38,5,6,30,6,0
EX39,21,159,0,2,7.6
FY1,6.6,9,59,0,0
FY2,14,21,0,32,1.5
FY3,6.2,17,106,0,70
FY4,23,126,0,78,5.5
FY5,5.5,16,88,0,0
FY6,17,82,0,0,4.8
FY7,0,9,,,
FY8,17,0,0,0,0
GL1,3.9,17,67,0,0
GL2,33,286,31,0,8.7
GL3,1.3,19,24,18,0
GL4,25,176,0,0,7
GL5,2.5,24,60,0,0
GL6,23,99,0,0,4.3
GL7,3.8,44,168,0,0
GL8,7,27,0,0,3.9
GL9,2.3,4,9,0,0
GL10,15,42,0,0,2.8
GL11,5.1,13,66,0,0
GL12,12,61,0,0,5.1
GL13,3,4,12,0,0
GL14,11,39,0,0,3.5
GL15,4.3,16,69,0,0
GL16,10,25,0,0,2.5
GL17,3.8,9,34,0,0
GL18,7,26,0,0,3.7
GL19,3,13,39,0,0
GL20,21,55,0,0,2.6
GL50,0,7,,,
GL51,24,111,0,0,4.6
GL52,5.9,21,123,6,0
GL53,13,146,28,0,11.2
GL54,5.2,21,109,0,0
GL55,5,15,0,0,3
GL56,8.2,5,41,0,0
GU1,17,71,0,0,4.2
GU2,5.4,13,70,0,0
GU3,4,,,,0
GU4,0,6,0,0,0
GU5,11,0,0,0,0
GU6,5.4,9,49,0,0
GU7,16,123,0,0,7.7
GU8,1.2,10,12,0,0
GU9,14,0,0,0,0
GU10,2.5,13,32,0,0
GU11,14,81,0,0,5.8
GU12,12.1,11,133,0,0
GU14,32,57,0,0,1.8
GU15,0,11,0,0,0
GU16,10,42,0,0,4.2
GU17,0,5,0,0,0
GU18,3,0,0,0,0
GU19,0,3,,,
GU20,2,,,,0
GU21,3,20,60,0,0
GU22,12,60,0,0,5
GU23,0,2,,,
GU24,12,79,0,0,6.6
GU25,0,3,0,0,0
GU26,6,20,0,0,3.3
GU27,5.8,9,52,0,0
GU28,6,9,0,0,1.5
GU29,8,5,40,0,0
GU30,6,90,0,0,15
GU31,2.1,8,17,0,0
GU32,11,29,0,0,2.6
GU33,13.1,7,92,0,0
GU34,27,113,0,0,4.2
GU35,3.2,9,29,0,0
GU46,12,155,0,0,12.9
GU47,1.2,5,6,0,0
GU51,4,,,,0
GU52,0,11,0,0,0
HA0,10,,,,0
HA1,0,14,,,
HA2,16,,,,0
HA3,0,26,,,
HA4,18,,,,0
HA5,0,16,,,
HA6,15,0,0,0,0
HA7,0,8,,,
HA8,24,,,,0
HA9,0,17,,,
HD1,7,112,0,71,16
HD2,11,8,88,8,87
HD3,8,183,0,0,22.9
HD4,11.9,23,274,45,32
HD5,20,296,10,0,14.8
HD6,0,18,0,0,0
HD7,15,146,0,36,9.7
HD8,13.6,28,381,24,158
HD9,11,232,67,54,21.1
HG1,4.3,13,56,0,0
HG2,14,0,0,0,0
HG3,0.6,27,15,0,0
HG4,17,0,0,0,0
HG5,5.8,9,52,0,0
HP1,21,26,0,0,1.2
HP2,2.6,20,52,0,0
HP3,14,,,,0
HP4,3.9,19,75,10,0
HP5,16,24,0,0,1.5
HP6,3.3,16,52,0,0
HP7,9,0,0,0,0
HP8,0,3,0,0,0
HP9,15,72,0,0,4.8
HP10,0,9,0,0,0
HP11,14,47,24,0,3.4
HP12,4.2,11,46,0,0
HP13,15,12,0,0,0.8
HP14,2.1,14,30,0,0
HP15,17,128,0,52,7.5
HP16,7.4,10,74,0,0
HP17,8,0,0,30,0
HP18,1.8,17,30,0,0
HP19,8,,,,0
HP20,0,5,,,
HP21,21,84,0,0,4
HP22,6.7,18,120,0,0
HP23,13,59,0,0,4.5
HP27,0,8,0,0,0
HR1,23,,,,0
HR2,0,20,,,
HR3,3,,,,0
HR4,0,14,,,
HR5,2,,,,0
HR6,0,13,,,
HR7,5,,,,0
HR8,0,9,,,
HR9,13,,,,0
HU1,0,2,,,
HU2,5,26,0,0,5.2
HU3,7.5,13,98,0,44
HU4,17,300,20,130,17.6
HU5,18.8,15,282,0,12
HU6,19,39,20,0,2.1
HU7,15.5,24,371,0,10
HU8,16,349,0,75,21.8
HU9,5.1,21,108,0,112
HU10,8,0,0,0,0
HU11,0,6,,,
HU12,9,0,0,0,0
HU13,0,4,,,
HU14,5,0,0,0,0
HU15,0,6,0,0,0
HU16,4,0,0,0,0
HU17,0,22,0,0,0
HU18,5,0,0,0,0
HU19,0,4,0,0,0
HU20,1,,,,0
HX1,0,11,0,0,0
HX2,27,0,0,0,0
HX3,0,32,0,0,0
HX4,7,0,0,0,0
HX5,0,8,0,0,0
HX6,20,0,0,0,0
HX7,0,17,0,0,0
IG1,17,,,,0
IG2,0,7,,,
IG3,11,,,,0
IG4,0,4,,,
IG5,5,,,,0
IG6,0,12,,,
IG7,12,0,0,0,0
IG8,0,17,,,
IG9,6,95,6,0,15.8
IG10,11.3,16,180,24,35
IG11,20,,,,0
IP1,0,19,0,0,0
IP2,14,0,0,0,0
IP3,0,11,,,
IP4,18,73,15,0,4.1
IP5,0,6,0,0,0
IP6,7,,,,0
IP7,3.4,18,61,0,0
IP8,9,12,0,0,1.3
IP9,3.8,13,49,0,0
IP10,3,,,,0
IP11,2,12,24,0,0
IP12,22,30,0,0,1.4
IP13,0.7,18,12,0,0
IP14,25,21,0,0,0.8
IP15,0,1,,,
IP16,3,,,,0
IP17,0,8,0,0,0
IP18,3,,,,0
IP19,2.4,5,12,0,0
IP20,6,30,0,0,5
IP21,0,10,0,0,0
IP22,15,29,0,12,1.9
IP23,0,7,0,0,0
IP24,15,,,,0
IP25,0,8,0,0,0
IP26,6,,,,0
IP27,12,7,84,0,0
IP28,15,144,0,0,9.6
IP29,8.4,7,59,0,0
IP30,7,19,0,0,2.7
IP31,2.7,16,43,0,0
IP32,12,53,0,0,4.4
IP33,1.2,18,21,0,0
KT1,6,,,,0
KT2,0,19,,,
KT3,14,,,,0
KT4,2.6,8,21,0,0
KT5,4,,,,0
KT6,0,14,,,
KT7,6,106,0,0,17.7
KT8,9.8,8,78,0,0
KT9,7,,,,0
KT10,0,12,0,0,0
KT11,8,0,0,0,0
KT12,9.3,11,102,0,0
KT13,8,113,0,0,14.1
KT14,7.3,6,44,0,0
KT15,13,41,0,0,3.2
KT16,3.5,11,38,0,0
KT17,11,154,0,0,14
KT18,0,7,0,0,0
KT19,14,156,0,0,11.1
KT20,0,11,0,0,0
KT21,5,110,0,0,22
KT22,6.2,13,80,0,0
KT23,7,107,0,0,15.3
KT24,13,7,91,0,0
L1,5,,,,0
L3,0,2,,,
L4,12,5,0,0,0.4
L5,1.5,8,12,0,0
L6,7,0,0,0,0
L7,0,9,,,
L8,17,30,0,0,1.8
L9,0,11,,,
L10,4,,,,0
L11,2.5,12,30,0,0
L12,17,125,43,0,7.4
L13,2.6,15,39,0,0
L14,7,7,0,0,1
L15,2.1,15,32,0,0
L16,5,55,0,0,11
L17,0,8,,,
L18,7,,,,0
L19,0,7,,,
L20,12,45,0,0,3.8
L21,2.3,12,28,0,0
L22,2,,,,0
L23,1.2,18,22,22,0
L24,4,,,,0
L25,7,17,119,0,0
L26,8,0,0,0,0
L27,0,3,,,
L28,4,,,,0
L30,4,11,44,0,0
L31,13,57,0,0,4.4
L32,0,9,,,
L33,6,,,,0
L34,5.2,10,52,0,0
L35,15,28,0,0,1.9
L36,3.5,18,63,0,0
L37,11,169,0,0,15.4
L39,8.2,21,173,0,0
L40,22,117,0,0,5.3
LA1,7.7,29,222,30,60
LA2,24,62,8,0,2.6
LA3,4.6,13,60,0,0
LA4,11,292,0,0,26.5
LA5,10,17,170,0,0
LA6,14,31,0,0,2.2
LA7,10,5,50,0,0
LA8,10,36,0,0,3.6
LA9,4,19,76,0,0
LA10,5,22,0,0,4.4
LA11,4.8,13,62,0,0
LA12,16,97,0,0,6.1
LA13,1.4,13,18,0,0
LA14,27,203,0,0,7.5
LA15,1.5,6,9,0,0
LA16,2,,,,0
LA17,6,2,12,0,0
LA18,7,18,0,0,2.6
LA19,0,1,,,
LA20,2,25,0,0,12.5
LA21,0,2,,,
LA22,4,9,0,0,2.3
LA23,12.8,6,77,0,0
LE1,3,,,,0
LE2,3.8,42,158,0,0
LE3,36,286,0,0,7.9
LE4,3.4,45,155,0,0
LE5,44,79,0,0,1.8
LE6,5,5,25,0,0
LE7,23,61,0,0,2.7
LE8,0,12,,,
LE9,25,21,0,0,0.8
LE10,0,17,0,0,0
LE11,28,48,0,0,1.7
LE12,4,33,133,0,0
LE13,9,22,0,0,2.4
LE14,0,14,,,
LE15,36,149,17,0,4.1
LE16,6.4,24,154,35,0
LE17,15,36,0,0,2.4
LE18,1.7,13,22,0,0
LE19,8,65,0,0,8.1
LE65,1.1,10,11,0,0
LE67,28,7,0,0,0.3
LN1,5.9,17,101,0,0
LN2,23,154,0,38,6.7
LN3,5,7,35,0,0
LN4,26,127,0,0,4.9
LN5,4.2,23,97,0,24
LN6,42,211,0,0,5
LN7,5.8,6,35,0,0
LN8,13,40,0,0,3.1
LN9,1.3,7,9,0,0
LN10,5,20,0,0,4
LN11,0,18,,,
LN12,4,,,,0
LN13,0,6,,,
LS2,2,60,0,9,30
LS3,0,1,,,
LS4,6,57,0,13,9.5
LS5,0,2,,,
LS6,8,61,0,1,7.6
LS7,6.6,11,73,0,72
LS8,10,36,0,160,3.6
LS9,0,16,0,0,210
LS10,23,377,0,103,16.4
LS11,1.5,17,26,0,75
LS12,15,54,0,97,3.6
LS13,4.1,13,53,0,0
LS14,14,103,0,56,7.4
LS15,7.5,12,90,0,72
LS16,20,275,0,74,13.8
LS17,16.2,25,405,110,21
LS18,6,92,0,1,15.3
LS19,10.9,8,87,0,0
LS20,3,45,0,0,15
LS21,11.4,10,114,0,5
LS22,7,56,0,0,8
LS23,7.4,7,52,0,0
LS24,8,0,0,0,0
LS25,6.9,22,151,0,30
LS26,11,122,0,49,11.1
LS27,12,14,168,0,53
LS28,17,177,0,138,10.4
LS29,1.9,16,30,0,0
